Year,Month,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,Business Applications,Construction Spending,Durable Goods New Orders,International Trade_Exports,International Trade_Imports,Manu Inventories,Manu New Orders,New Homes For Sale,New Homes Sold,Res Const Permits,Res Const Units Completed,Res Const Units Started,Retail Inventories,Retail And Food Sales,Wholesale Inventories,Food At Home Nominal Sales,Food Away From Home Nominal Sales,Whole sale Trade Durable Goods Sales,Whole sale Trade Nondurable Goods sales,Manufacturers Motor Vehicles And Parts New Orders sales,Manufacturers Motor Vehicles And Parts Inventories sales,Manufacturers Capital Goods New Orders sales,Manufacturers Capital Goods Inventories sales,Manufacturers Machinery New Orders Sales,Manufacturers Machinery Inventories Sales,Manufacturers Computer And Eletronic Products New Orders Sales,Manufacturers Computer And Eletronic Products Inventories Sales,Manufacturers Transportation Equipment New Orders Sales,Manufacturers Transportation Equipment Inventories Sales,Manufacturers Primary Metal New Orders Sales,Manufacturers Primary Metal Inventories Sales,Department Stores Sales,Building Machinaries And Garden Equipments And Supplies Dealers Sales,Monthly Imports Commodities,Monthly Exports Commodities,Origin Price Indexes Canada,Origin Price Indexes European Union,Origin Price Indexes Mexico,Origin Price Indexes China,Origin Price Indexes Japan,Import Air Fares,Export Air Fares,Import Air Freight,Export Air Freight,CPI for Urban Consumers All items,CPI for Urban Consumers Energy,CPI for Urban Consumers Gasoline,CPI for Urban Consumers Housing,CPI for Urban Consumers Education,PPI Manufacturing Industries,PPI All Commodities,Civilianlaborforceparticipationrate16yearsandover,EmploymentLevel16yearsandover,UnemploymentLevel16yearsandover,NotinLaborForce16yearsandover,JobopeningsAllareasAllsizeclasses,HiresAllareasAllsizeclasses,TotalseparationsAllareasAllsizeclasses,QuitsAllareasAllsizeclasses,LayoffsanddischargesAllareasAllsizeclasses,Monthly import price index Fuels and lubricants,"Monthly import price index Foods, feeds, and beverages",Monthly import price index Industrial supplies and materials,Monthly import price index Capital goods,"Monthly import price index Automotive vehicles, parts and engines","Monthly import price index Consumer goods, excluding automotives",Monthly Export price index Agricultural commodities,Monthly Export price index Nonagricultural commodities,"Monthly Export price index Foods, feeds, and beverages",Monthly Export price index Industrial supplies and materials,Monthly Export price index Capital goods,"Monthly Export price index Automotive vehicles, parts and engines","Monthly Export price index Consumer goods, excluding automotives",CPI Average Price Bacon,CPI Average Price Bananas,CPI Average Price Bread,CPI Average Price Eggs,CPI Average Price Milk,CPI Average Price Electricity per KWH,CPI Average Price Fuel oil #2,"CPI Average Price Gasoline, all types","CPI Average Price Gasoline, unleaded regular",PPI Electric power distribution,PPI Fruit and vegetable canning,PPI Petroleum lubricating oil,PPI Iron and steel mills and ferroalloy,PPI Oil and gas field machinery and equipment,PPI Turbine and turbine generator,PPI Electric power and specialty transformer,"PPI Automobile, light truck and utility vehicle",PPI Aircraft engine and engine parts,PPI New car dealers,PPI Supermarkets and other grocery stores,PPI sub-sector data for Truck transportation,PPI General freight trucking,PPI General medical and surgical hospitals,Inflation Adjusted SP 500,NASDAQ Composite Index,FTSE,N225,Corprote Bond (BAA) Yield,US_1yr,US_10yr,CPI,Housing Starts,Monetary Base,M2,Unemp_Rate,Auto Sales,Durable Goods,NYMEX_Oil_Price,Michigan_CSI,GLD,Macro_2
2004,11,19,,21.46,15.92,20.68,15.91,13.33,,13.66,20.5,26.26,211318,1022994,192545,100090,159057,439997,373177,418,1179,2079,1758,1782,459431,327836,339330,42400.99,33847.98,145291,141580,39938,23339,67247,119209,22603,41952,23743,39986,58320,66395,15802,23632,20724,24035,105.5,104.7,117.2,111.2,106.7,99.2,95.6,107.9,130,126.8,106.1,191,158.6,171,190.8,148.4,146.1,151.4,66,140231,7932,76259,2.6,3.9,3.4,1.8,1.5,157,110.3,133.2,91.9,103.1,98.7,116.7,103.9,118.3,117.4,98.1,102.8,101,3.44,0.47,0.98,1.09,3.22,0.09,1.96,2.05,2.01,101.9,148.7,206.4,153,180.5,155.8,151,139.9,161.8,113.8,125.2,105.6,120,144,1925,2063,4703.2,10899.25,6.2,2.28,4.05,190.8,2072,763.9,6373.3,5.4,1370.09,175497,49.64,94.2,45.12,-5.096500717
2004,12,19.25,,20.85,16.58,21.19,16.32,13.83,,14,21.63,27.49,193328,1037480,193578,102781,157699,441222,373419,422,1242,2082,1921,2042,460394,331874,340128,48269.58,36644.27,150855,144687,39174,22012,79787,114392,25590,40659,31715,37751,62902,63276,15754,24198,31783,23330,104,104.8,116.6,111.6,104,99,95.9,111.7,134,126.8,106.1,190.3,153.7,160.4,190.7,148.5,145,150.2,65.9,140125,7934,76581,3,3.9,3.5,1.6,1.7,141,111.5,126.4,92.2,103.2,99,115.4,104.1,116.9,118,98.2,102.9,101.2,3.37,0.47,0.97,1.2,3.23,0.09,1.9,1.93,1.88,102.3,148.9,207.7,153.8,182.5,156.4,153.3,139.5,161.8,113,128.1,105.5,119.4,144.3,1982,2150,4814.3,11488.76,6.15,2.63,4.36,191.7,1782,770.5,6399.8,5.5,1231.2,183784,51.76,91.7,43.8,-4.856829051
2005,1,18.66,,21.56,16.22,20.6,15.4,13.99,,14.3,20.95,26.31,201725,1046082,194875,103206,159395,446240,378937,441,1203,2139,1892,2144,461016,328696,345246,40937.11,33494.39,131784,135098,37719,23455,62197,118409,24116,42503,22298,39686,51383,65845,16842,25109,14218,20056,104.6,105.6,116.7,112.6,104.8,98.9,95.9,110.8,141,128.6,106.4,190.7,151.9,155.6,191.8,148.8,146.2,150.9,65.8,140245,7784,76808,2.8,3.9,4.5,2.2,2,142.5,111.1,127.9,92.5,103.2,99.6,116.1,104.9,117.1,120.1,98.4,103.1,101.7,3.37,0.49,1,1.21,3.3,0.09,1.86,1.87,1.82,103.3,149.3,210.2,157.4,185,156.6,155,139.8,163.4,116,127.4,106,120.1,145.3,1949,2072,4852.3,11387.59,6.02,2.75,4.24,191.7,2042,776.3,6418.3,5.4,1583.6,186095,49.13,92.8,42.22,-4.850937581
2005,2,20.13,,25.18,16.11,20.84,15.43,13.98,,14.6,21.58,26.17,204234,1066848,196475,104010,162104,451361,381880,446,1319,2114,1908,2207,462872,333026,347068,38731.16,33418.23,133832,133998,42187,23982,64531,121352,25224,43580,23441,40342,55799,67726,17582,25410,14943,19965,105.5,105.7,117.6,113.5,105.5,99,96,110.1,134.5,128.6,106.4,191.8,155.2,163.4,192.7,149.2,147,151.6,65.9,140385,7980,76677,2.9,4,3.1,1.6,1.3,148,112.2,130.7,92.4,103.2,100.1,115.5,105,116.4,120.7,98.5,103.1,101.6,3.4,0.5,0.98,1.28,3.18,0.09,1.96,1.96,1.92,103.1,149.7,211.5,157.9,185.8,156.8,155.7,137.4,163.2,116.6,130.8,106.1,120.9,146.1,1967,2066,4968.5,11740.6,5.82,2.96,4.14,191.6,2144,775.2,6424.5,5.4,1095.85,186957,43.45,97.1,43.53,-4.848102605
2005,3,19.6,,24.69,15.5,20.83,15.13,13.85,,14.76,21.46,25.87,201630,1071745,186608,105098,158231,455394,374642,445,1328,2062,1787,1864,464979,333581,348774,43172.02,36620.95,160982,155310,43723,24303,75704,119637,27612,43260,30198,38906,59721,67319,18575,25922,16601,26297,107.8,106.4,120.1,113.8,109.2,98.8,95.9,110,136.3,128.6,106.4,193.3,160.8,175,194.1,149.3,148.9,153.7,65.9,140654,7737,76846,2.9,4,3.3,1.8,1.3,165.6,115.9,139.8,92.3,103.2,99.9,119.9,105.4,120.9,122.3,98.4,103.3,101.6,3.36,0.51,1,1.13,3.23,0.09,2.08,2.11,2.07,103.3,149.9,215.1,153.2,190,156.8,158.2,136.8,163.2,117.2,130.2,106.9,121.7,146.1,1944,2030,4894.4,11668.95,6.06,3.2,4.36,192.4,2207,772.9,6432.8,5.3,1286.07,188702,48.2,95.5,42.82,-4.834905864
2005,4,18.2,,23.36,15.53,20.07,14.59,13.71,,15.22,22.21,24.22,204096,1081012,194847,107268,164580,456990,385450,445,1260,2150,1927,2061,465861,336583,351996,41869.89,37378.07,148750,147290,42316,24676,64576,120623,27270,43717,21217,40114,55386,67300,16428,26187,16666,29822,108.8,106.9,120.7,114.3,110,98.9,95.8,116.9,133.5,128.4,110.1,194.6,170.9,192.9,194.4,149.5,149.6,155,66.1,141254,7672,76514,3,4,3.7,2.1,1.4,173,115.6,143.7,92.5,103.3,99.8,120.3,106,121,124.1,98.4,103.3,101.9,3.33,0.5,1,1.16,3.23,0.1,2.12,2.33,2.28,103.5,150.2,218.1,151.3,190.7,157.5,158.9,136.5,163.5,117.4,128.2,107.6,122.5,146.1,1882,1957,4801.7,11008.9,6.05,3.35,4.5,193.1,1864,773.5,6441.9,5.4,1615.98,180157,51.75,94.1,43.35,-4.845873953
2005,5,18.08,,24.01,15.99,20.71,15.61,14.03,,15.21,22.49,25.72,203523,1093341,206623,107079,163120,457623,395916,450,1286,2085,2103,2025,465988,334522,352838,43836.21,38102.1,150865,149659,43478,24587,75702,122238,25197,44118,21628,41183,68268,67380,16602,26322,16947,31644,107.9,106.7,119.4,114,110.5,98.9,95.7,116.2,142.6,128.4,110.1,194.4,169.4,187.3,194.5,149.9,149.4,154.3,66.1,141609,7651,76409,2.8,3.9,3.6,2.1,1.3,165.9,115.5,139.8,92.4,103.3,99.9,122.7,105.5,123.6,122.7,98.4,103.4,101.7,3.56,0.5,1.09,1.19,3.21,0.1,2.04,2.26,2.22,104.6,151.4,224.9,147.1,191.8,158.4,158.9,135.8,163.6,116.3,128.7,108.1,123.3,146.2,1906,2005,4964,11276.59,6.01,3.33,4.21,193.7,2061,775.5,6455.9,5.2,1542.05,186553,55.4,92.6,41.65,-4.86342245
2005,6,17.72,,25.68,16.19,20.16,15.4,13.76,,16.12,22.37,25.61,210096,1105896,210020,107033,165185,458507,400506,455,1274,2178,1965,2068,463147,343998,354277,43425.41,37840.86,160185,151657,45437,24241,85033,119630,28005,43403,30354,40242,73249,65717,16298,26051,17150,30931,109.2,106.7,119.6,114.1,111.4,98.8,95.8,128.1,136.2,128.4,110.9,194.5,171.4,184.6,195.5,150.5,149.6,154.3,66.1,141714,7524,76673,2.9,4,3.8,2.1,1.4,178,114.1,145.5,92.3,103.4,99.9,123.9,105.4,125.2,122.3,98.4,103.4,101.5,3.46,0.49,1.09,1.14,3.12,0.1,2.06,2.22,2.18,108.7,151.8,224.8,141.5,192.7,158.2,160.7,132.6,163.5,115.6,132.5,108.7,123.3,146.3,1944,2074,5113.2,11584.01,5.86,3.32,4,193.6,2025,776.4,6473.3,5.2,1537.32,197735,49.72,87.7,43.44,-4.843102198
2005,7,18.7,,27.51,16.44,20.93,16.28,14.2,,16.48,22.88,27.06,207999,1119101,194475,107082,165383,461924,386590,464,1389,2203,1886,2054,452724,346576,355552,44347.86,39285.79,144874,145045,28310,24431,62707,123765,23352,44404,20186,42252,43386,67695,14925,26242,16323,27368,110.5,106.8,121.7,114.5,112.1,98.5,96.1,132,147.3,129.7,110.9,195.4,178.5,196.5,196.6,151.3,151,156.3,66.1,142026,7406,76721,3.1,4,4.1,2.4,1.4,191.2,113.7,151.7,91.7,103.4,99.7,123.9,105.5,125.4,123.3,98,103.5,101.5,3.48,0.49,1.07,1.17,3.09,0.11,2.17,2.36,2.32,109.9,151.9,227.3,139.3,193.3,154.1,161.1,132.8,163.3,115.5,132.2,109.1,123.3,146.6,1967,2145,5282.3,11899.6,5.95,3.45,3.94,193.7,2068,780.7,6505.8,5.1,1720.01,199935,51.97,86.9,42.82,-4.853319329
2005,8,17.92,,29.26,16.17,20.44,16.12,13.95,,16.59,22.8,26.17,204797,1129163,204839,108475,167220,461964,401287,476,1255,2219,1952,2095,455534,343307,357368,44208.09,38645.21,161824,160880,45708,24432,71477,125196,25440,44942,23807,43170,64114,66936,18708,25979,17199,28332,112.1,106.6,123.6,114.4,113.1,98.6,95.8,131,154.9,129.7,110.9,196.4,186.6,211.7,196.9,153.9,151.8,157.6,66.2,142434,7345,76642,3,4,4.6,2.8,1.5,204.6,114.1,158,91.7,103.5,99.5,123.2,105.4,124.9,123.4,97.6,103.6,101.6,3.44,0.49,1.06,1.17,3.14,0.11,2.28,2.55,2.51,110.3,152,235.5,133.7,193.4,155,161.2,131.7,163.4,115.2,131.3,109.4,123.6,146.8,1961,2158,5296.9,12413.6,5.96,3.8,4.28,194.9,2054,782.9,6537.4,5,1845.71,186870,56.5,96,43.4,-4.850744453
