Year,Month,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,BusinessApplications,ConstructionSpending,DurableGoodsNewOrders,InternationalTrade_Exports,InternationalTrade_Imports,ManuInventories,ManuNewOrders,NewHomesForSale,NewHomesSold,ResConstPermits,ResConstUnitsCompleted,ResConstUnitsStarted,RetailInventories,SalesForRetailAndFood,WholesaleInventories,SalesOfFoodAtHomeNominal,SalesOfFoodAwayFromHomeNominal,SalesForWholesaleTradeDurableGoods,SalesForWholesaleTradeNondurableGoods,SalesForManufacturersMotorVehiclesAndPartsNewOrders,SalesForManufacturersMotorVehiclesAndPartsInventories,SalesForManufacturersCapitalGoodsNewOrders,SalesForManufacturersCapitalGoodsInventories,SalesForManufacturersMachineryNewOrders,SalesForManufacturersMachineryInventories,SalesForManufacturersComputerAndEletronicProductsNewOrders,SalesForManufacturersComputerAndEletronicProductsInventories,SalesForManufacturersTransportationEquipmentNewOrders,SalesForManufacturersTransportationEquipmentInventories,SalesForManufacturersPrimaryMetalNewOrders,SalesForManufacturersPrimaryMetalInventories,SalesForDepartmentStores,SalesForBuildingMachinariesAndGardenEquipmentsAndSuppliesDealers,MonthlyImportsAllCommodities,MonthlyExportsAllCommodities,LocalityofOriginPriceIndexesCanada,LocalityofOriginPriceIndexesEuropeanUnion,LocalityofOriginPriceIndexesMexico,LocalityofOriginPriceIndexesChina,LocalityofOriginPriceIndexesJapan,ImportAirPassengerFares,ExportAirPassengerFares,ImportAirFreight,ExportAirFreight,"ConsumerPriceIndexforAllUrbanConsumersUSCityAverageAllitems
","ConsumerPriceIndexforAllUrbanConsumersUSCityAverageEnergy
","ConsumerPriceIndexforAllUrbanConsumersUSCityAverageGasoline
","ConsumerPriceIndexforAllUrbanConsumersUSCityAverageHousing
","ConsumerPriceIndexforAllUrbanConsumersUSCityAverageEducation
","PPIIndustryDataTotalManufacturingIndustries
",PPICommodityDataForAllCommodities,"Civilianlaborforceparticipationrate16yearsandover
","EmploymentLevel16yearsandover
","UnemploymentLevel16yearsandover
",NotinLaborForce16yearsandover,"JobopeningsAllareasAllsizeclasses

","HiresAllareasAllsizeclasses

","TotalseparationsAllareasAllsizeclasses

","QuitsAllareasAllsizeclasses

","LayoffsanddischargesAllareasAllsizeclasses

",Monthly import price index Fuels & lubricants,"Monthly import price index Foods, feeds, & beverages
",Monthly import price index Industrial supplies & materials,"Monthly import price index Capital goods
","Monthly import price index Automotive vehicles, parts & engines

","Monthly import price index Consumer goods, excluding automotives","Monthly Export price index Agricultural commodities
",Monthly Export price index Nonagricultural commodities,"Monthly Export price index Foods, feeds, & beverages
","Monthly Export price index Industrial supplies & materials

","Monthly Export price index Capital goods


","Monthly Export price index Automotive vehicles, parts & engines



","Monthly Export price index Consumer goods, excluding automotives




","Consumer Price Index Average Price Bacon, sliced, per lb","Consumer Price Index Average Price Bananas, per lb","Consumer Price Index Average Price Bread, white, pan, per lb","Consumer Price Index Average Price Eggs, grade A, large, per doz","Consumer Price Index Average Price Milk, fresh, whole, fortified, per gal",Consumer Price Index Average Price Electricity per KWH in U.S. city average,Consumer Price Index Average Price Fuel oil #2 per gallon,"Consumer Price Index Average Price Gasoline, all types, per gallon/3.785 liters","Consumer Price Index Average Price Gasoline, unleaded regular, per gallon/3.785 liters",PPI industry data for Electric power distribution,PPI industry data for Fruit and vegetable canning,PPI industry data for Petroleum lubricating oil and grease mfg,PPI industry data for Iron and steel mills and ferroalloy mfg,PPI industry data for Oil and gas field machinery and equipment mfg,PPI industry data for Turbine and turbine generator set units mfg,PPI industry data for Electric power and specialty transformer mfg,"PPI industry data for Automobile, light truck and utility vehicle mfg",PPI industry data for Aircraft engine and engine parts mfg,PPI industry data for New car dealers,PPI industry data for Supermarkets and other grocery stores,PPI industry sub-sector data for Truck transportation,"PPI industry data for General freight trucking, long-distance TL-General freight trucking, long-distance, truckload",PPI industry data for General medical and surgical hospitals,Inflation Adjusted S&P 500 by Month,NASDAQ Composite Index,FTSE,N225,Corprote Bond (BAA) Yield,US_ 1yr,US_10yr,CPI,Housing Starts,Monetary Base,M2,Unemp_Rate,Auto Sales,Durable Goods,NYMEX_Oil_Price,Michigan_CSI
2004,11,18.99545,,21.45756,15.92274,20.68,15.90856,13.3338,,13.66362,20.49524,26.26125,211318,1022994,192545,100090,159057,439997,373177,418,1179,2079,1758,1782,459431,327836,339330,"42,400.99","33,847.98","145,291","141,580","39,938","23,339","67,247","119,209","22,603","41,952","23,743","39,986","58,320","66,395","15,802","23,632","20,724","24,035",105.5,104.7,117.2,111.2,106.7,99.2,95.6,107.9,130,126.8,106.1,191,158.6,171,190.8,148.4,146.1,151.4,66,"140,231","7,932","76,259",2.6,3.9,3.4,1.8,1.5,157,110.3,133.2,91.9,103.1,98.7,116.7,103.9,118.3,117.4,98.1,102.8,101,3.438,0.469,0.976,1.085,3.219,0.092,1.958,2.053,2.01,101.9,148.7,206.4,153,180.5,155.8,151,139.9,161.8,113.8,125.2,105.6,120,144,"1,925","2,063",4703.200195,10899.25,6.2,2.28,4.05,190.8,2072,763.9,6373.3,5.4,1370.093,175497,49.64,94.2
2004,12,19.24945,,20.85231,16.58105,21.1935,16.32481,13.83236,,14.00014,21.62543,27.48803,193328,1037480,193578,102781,157699,441222,373419,422,1242,2082,1921,2042,460394,331874,340128,"48,269.58","36,644.27","150,855","144,687","39,174","22,012","79,787","114,392","25,590","40,659","31,715","37,751","62,902","63,276","15,754","24,198","31,783","23,330",104,104.8,116.6,111.6,104,99,95.9,111.7,134,126.8,106.1,190.3,153.7,160.4,190.7,148.5,145,150.2,65.9,"140,125","7,934","76,581",3,3.9,3.5,1.6,1.7,141,111.5,126.4,92.2,103.2,99,115.4,104.1,116.9,118,98.2,102.9,101.2,3.369,0.474,0.97,1.199,3.233,0.092,1.895,1.926,1.882,102.3,148.9,207.7,153.8,182.5,156.4,153.3,139.5,161.8,113,128.1,105.5,119.4,144.3,"1,982","2,150",4814.299805,11488.75977,6.15,2.63,4.36,191.7,1782,770.5,6399.8,5.5,1231.197,183784,51.76,91.7
2005,1,18.66025,,21.55849,16.2226,20.60004,15.40456,13.99418,,14.29674,20.95209,26.31187,201725,1046082,194875,103206,159395,446240,378937,441,1203,2139,1892,2144,461016,328696,345246,"40,937.11","33,494.39","131,784","135,098","37,719","23,455","62,197","118,409","24,116","42,503","22,298","39,686","51,383","65,845","16,842","25,109","14,218","20,056",104.6,105.6,116.7,112.6,104.8,98.9,95.9,110.8,141,128.6,106.4,190.7,151.9,155.6,191.8,148.8,146.2,150.9,65.8,"140,245","7,784","76,808",2.8,3.9,4.5,2.2,2,142.5,111.1,127.9,92.5,103.2,99.6,116.1,104.9,117.1,120.1,98.4,103.1,101.7,3.367,0.485,0.997,1.211,3.304,0.094,1.859,1.866,1.823,103.3,149.3,210.2,157.4,185,156.6,155,139.8,163.4,116,127.4,106,120.1,145.3,"1,949","2,072",4852.299805,11387.58984,6.02,2.75,4.24,191.7,2042,776.3,6418.3,5.4,1583.603,186095,49.13,92.8
2005,2,20.13002,,25.17547,16.11397,20.8388,15.42775,13.9762,,14.60338,21.58245,26.17165,204234,1066848,196475,104010,162104,451361,381880,446,1319,2114,1908,2207,462872,333026,347068,"38,731.16","33,418.23","133,832","133,998","42,187","23,982","64,531","121,352","25,224","43,580","23,441","40,342","55,799","67,726","17,582","25,410","14,943","19,965",105.5,105.7,117.6,113.5,105.5,99,96,110.1,134.5,128.6,106.4,191.8,155.2,163.4,192.7,149.2,147,151.6,65.9,"140,385","7,980","76,677",2.9,4,3.1,1.6,1.3,148,112.2,130.7,92.4,103.2,100.1,115.5,105,116.4,120.7,98.5,103.1,101.6,3.395,0.502,0.982,1.284,3.176,0.094,1.962,1.96,1.918,103.1,149.7,211.5,157.9,185.8,156.8,155.7,137.4,163.2,116.6,130.8,106.1,120.9,146.1,"1,967","2,066",4968.5,11740.59961,5.82,2.96,4.14,191.6,2144,775.2,6424.5,5.4,1095.851,186957,43.45,97.1
2005,3,19.595,,24.6948,15.50089,20.82965,15.12616,13.85373,,14.76488,21.46201,25.86583,201630,1071745,186608,105098,158231,455394,374642,445,1328,2062,1787,1864,464979,333581,348774,"43,172.02","36,620.95","160,982","155,310","43,723","24,303","75,704","119,637","27,612","43,260","30,198","38,906","59,721","67,319","18,575","25,922","16,601","26,297",107.8,106.4,120.1,113.8,109.2,98.8,95.9,110,136.3,128.6,106.4,193.3,160.8,175,194.1,149.3,148.9,153.7,65.9,"140,654","7,737","76,846",2.9,4,3.3,1.8,1.3,165.6,115.9,139.8,92.3,103.2,99.9,119.9,105.4,120.9,122.3,98.4,103.3,101.6,3.355,0.507,1.002,1.132,3.226,0.094,2.078,2.107,2.065,103.3,149.9,215.1,153.2,190,156.8,158.2,136.8,163.2,117.2,130.2,106.9,121.7,146.1,"1,944","2,030",4894.399902,11668.9502,6.06,3.2,4.36,192.4,2207,772.9,6432.8,5.3,1286.074,188702,48.2,95.5
2005,4,18.19814,,23.35838,15.52819,20.06984,14.59257,13.70929,,15.22074,22.20951,24.21996,204096,1081012,194847,107268,164580,456990,385450,445,1260,2150,1927,2061,465861,336583,351996,"41,869.89","37,378.07","148,750","147,290","42,316","24,676","64,576","120,623","27,270","43,717","21,217","40,114","55,386","67,300","16,428","26,187","16,666","29,822",108.8,106.9,120.7,114.3,110,98.9,95.8,116.9,133.5,128.4,110.1,194.6,170.9,192.9,194.4,149.5,149.6,155,66.1,"141,254","7,672","76,514",3,4,3.7,2.1,1.4,173,115.6,143.7,92.5,103.3,99.8,120.3,106,121,124.1,98.4,103.3,101.9,3.331,0.503,1.004,1.164,3.225,0.095,2.12,2.325,2.283,103.5,150.2,218.1,151.3,190.7,157.5,158.9,136.5,163.5,117.4,128.2,107.6,122.5,146.1,"1,882","1,957",4801.700195,11008.90039,6.05,3.35,4.5,193.1,1864,773.5,6441.9,5.4,1615.983,180157,51.75,94.1
2005,5,18.0812,,24.00931,15.98683,20.70644,15.60563,14.02825,,15.21061,22.48984,25.71762,203523,1093341,206623,107079,163120,457623,395916,450,1286,2085,2103,2025,465988,334522,352838,"43,836.21","38,102.10","150,865","149,659","43,478","24,587","75,702","122,238","25,197","44,118","21,628","41,183","68,268","67,380","16,602","26,322","16,947","31,644",107.9,106.7,119.4,114,110.5,98.9,95.7,116.2,142.6,128.4,110.1,194.4,169.4,187.3,194.5,149.9,149.4,154.3,66.1,"141,609","7,651","76,409",2.8,3.9,3.6,2.1,1.3,165.9,115.5,139.8,92.4,103.3,99.9,122.7,105.5,123.6,122.7,98.4,103.4,101.7,3.56,0.497,1.086,1.185,3.207,0.097,2.036,2.257,2.216,104.6,151.4,224.9,147.1,191.8,158.4,158.9,135.8,163.6,116.3,128.7,108.1,123.3,146.2,"1,906","2,005",4964,11276.58984,6.01,3.33,4.21,193.7,2061,775.5,6455.9,5.2,1542.051,186553,55.4,92.6
2005,6,17.71926,,25.68498,16.18609,20.16101,15.40456,13.75723,,16.11616,22.37092,25.60676,210096,1105896,210020,107033,165185,458507,400506,455,1274,2178,1965,2068,463147,343998,354277,"43,425.41","37,840.86","160,185","151,657","45,437","24,241","85,033","119,630","28,005","43,403","30,354","40,242","73,249","65,717","16,298","26,051","17,150","30,931",109.2,106.7,119.6,114.1,111.4,98.8,95.8,128.1,136.2,128.4,110.9,194.5,171.4,184.6,195.5,150.5,149.6,154.3,66.1,"141,714","7,524","76,673",2.9,4,3.8,2.1,1.4,178,114.1,145.5,92.3,103.4,99.9,123.9,105.4,125.2,122.3,98.4,103.4,101.5,3.457,0.493,1.09,1.139,3.122,0.104,2.059,2.218,2.176,108.7,151.8,224.8,141.5,192.7,158.2,160.7,132.6,163.5,115.6,132.5,108.7,123.3,146.3,"1,944","2,074",5113.200195,11584.00977,5.86,3.32,4,193.6,2025,776.4,6473.3,5.2,1537.321,197735,49.72,87.7
2005,7,18.69859,,27.50517,16.43875,20.92957,16.27841,14.19866,,16.47873,22.87558,27.05973,207999,1119101,194475,107082,165383,461924,386590,464,1389,2203,1886,2054,452724,346576,355552,"44,347.86","39,285.79","144,874","145,045","28,310","24,431","62,707","123,765","23,352","44,404","20,186","42,252","43,386","67,695","14,925","26,242","16,323","27,368",110.5,106.8,121.7,114.5,112.1,98.5,96.1,132,147.3,129.7,110.9,195.4,178.5,196.5,196.6,151.3,151,156.3,66.1,"142,026","7,406","76,721",3.1,4,4.1,2.4,1.4,191.2,113.7,151.7,91.7,103.4,99.7,123.9,105.5,125.4,123.3,98,103.5,101.5,3.478,0.494,1.067,1.165,3.09,0.105,2.173,2.357,2.316,109.9,151.9,227.3,139.3,193.3,154.1,161.1,132.8,163.3,115.5,132.2,109.1,123.3,146.6,"1,967","2,145",5282.299805,11899.59961,5.95,3.45,3.94,193.7,2068,780.7,6505.8,5.1,1720.006,199935,51.97,86.9
2005,8,17.91512,,29.26178,16.16962,20.43549,16.12375,13.95073,,16.58596,22.79627,26.16919,204797,1129163,204839,108475,167220,461964,401287,476,1255,2219,1952,2095,455534,343307,357368,"44,208.09","38,645.21","161,824","160,880","45,708","24,432","71,477","125,196","25,440","44,942","23,807","43,170","64,114","66,936","18,708","25,979","17,199","28,332",112.1,106.6,123.6,114.4,113.1,98.6,95.8,131,154.9,129.7,110.9,196.4,186.6,211.7,196.9,153.9,151.8,157.6,66.2,"142,434","7,345","76,642",3,4,4.6,2.8,1.5,204.6,114.1,158,91.7,103.5,99.5,123.2,105.4,124.9,123.4,97.6,103.6,101.6,3.442,0.487,1.06,1.166,3.136,0.105,2.276,2.548,2.506,110.3,152,235.5,133.7,193.4,155,161.2,131.7,163.4,115.2,131.3,109.4,123.6,146.8,"1,961","2,158",5296.899902,12413.59961,5.96,3.8,4.28,194.9,2054,782.9,6537.4,5,1845.713,186870,56.5,96
